Nationality,noofplayers
United Arab Emirates,1
Belize,1
Lebanon,1
Puerto Rico,1
Qatar,1
Palestine,1
St Lucia,1
Grenada,1
Andorra,1
Jordan,1
South Sudan,1
Mauritius,1
Liberia,1
Botswana,1
Indonesia,1
Ethiopia,1
Fiji,1
São Tomé & Príncipe,1
Malta,1
Kuwait,1
Rwanda,1
New Caledonia,1
Oman,1
Guam,1
Uzbekistan,2
Bermuda,2
Hong Kong,2
Eritrea,2
Philippines,2
Chad,2
Nicaragua,2
Dominican Republic,2
Tanzania,3
Sudan,3
Guatemala,3
Guyana,3
Liechtenstein,3
St Kitts Nevis,3
Burundi,3
Niger,3
Barbados,3
Central African Rep.,3
Namibia,3
Trinidad & Tobago,4
Kazakhstan,4
Libya,4
Antigua & Barbuda,4
Montserrat,4
Korea DPR,4
Belarus,4
Cuba,4
Mauritania,4
Mozambique,4
Suriname,4
Afghanistan,4
Thailand,5
Azerbaijan,5
Equatorial Guinea,5
El Salvador,5
Moldova,5
Faroe Islands,6
Latvia,6
Comoros,6
Uganda,6
Sierra Leone,6
Iraq,7
Luxembourg,8
Cyprus,8
Lithuania,8
Syria,9
Zambia,9
Kenya,10
Haiti,10
Armenia,10
Madagascar,12
Togo,12
Estonia,13
Zimbabwe,13
Curacao,14
Israel,14
Gambia,15
Panama,15
Benin,15
Angola,15
Gabon,15
Guinea Bissau,15
Burkina Faso,16
Honduras,16
Iran,17
Cape Verde,19
FYR Macedonia,20
Montenegro,23
Congo,25
Georgia,26
India,30
Costa Rica,30
Bolivia,30
Guinea,31
Egypt,31
Tunisia,32
Bulgaria,32
Jamaica,32
Kosovo,33
Peru,37
Hungary,38
Albania,40
Mali,43
Ecuador,43
New Zealand,44
Iceland,47
DR Congo,52
Slovakia,54
Romania,54
Slovenia,55
Algeria,60
Bosnia Herzegovina,61
Canada,64
Finland,67
Venezuela,67
South Africa,71
Ukraine,73
Russia,79
Northern Ireland,80
Morocco,85
Paraguay,85
Cameroon,90
Ivory Coast,100
Czech Republic,100
Greece,102
Ghana,114
Nigeria,121
Croatia,126
Serbia,126
Wales,129
Senegal,130
Uruguay,149
Switzerland,220
Australia,236
Belgium,260
Scotland,286
Austria,298
Turkey,303
Portugal,322
Korea Republic,335
Denmark,336
Saudi Arabia,340
Norway,341
Poland,350
United States,353
Mexico,366
Republic of Ireland,368
Chile,391
China PR,392
Sweden,397
Netherlands,453
Japan,478
Colombia,618
Italy,702
Brazil,827
France,914
Argentina,937
Spain,1072
Germany,1198
England,1662
